State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Karnataka,Bangalore,Hoskote APMC,Cereals,Rice,Pusa Basmati Raw (New),Local,"7,000.00","7,868.00","7,434.00",Rs./Quintal,35.4,Metric Tonnes,17-12-2025
Karnataka,Belgaum,Bailahongal APMC,Cereals,Rice,Coarse,Local,"2,000.00","2,500.00","2,200.00",Rs./Quintal,11.5,Metric Tonnes,29-11-2025
Karnataka,Belgaum,Bailahongal APMC,Cereals,Rice,Coarse,Local,"1,800.00","2,300.00","2,000.00",Rs./Quintal,11,Metric Tonnes,11-12-2025
Karnataka,Belgaum,Sankeshwar APMC,Cereals,Rice,Other,Local,"2,400.00","2,600.00","2,500.00",Rs./Quintal,81.6,Metric Tonnes,13-11-2025
Karnataka,Belgaum,Sankeshwar APMC,Cereals,Rice,Other,Local,"2,300.00","2,450.00","2,450.00",Rs./Quintal,33.6,Metric Tonnes,01-01-2026
Karnataka,Bellary,Hospet APMC,Cereals,Rice,Medium,Local,"3,450.00","3,450.00","3,450.00",Rs./Quintal,8,Metric Tonnes,27-12-2025
Karnataka,Bellary,Hospet APMC,Cereals,Rice,Medium,Local,"3,500.00","3,500.00","3,500.00",Rs./Quintal,8.5,Metric Tonnes,18-11-2025
Karnataka,Bellary,Hospet APMC,Cereals,Rice,Medium,Local,"4,000.00","4,000.00","4,000.00",Rs./Quintal,2.6,Metric Tonnes,09-11-2025
Karnataka,Chamrajnagar,Gundlupet APMC,Cereals,Rice,Other,Local,"3,906.00","3,906.00","3,906.00",Rs./Quintal,12.8,Metric Tonnes,01-01-2026
Karnataka,Chikmagalur,Chikkamagalore APMC,Cereals,Rice,Other,Local,"2,800.00","2,800.00","2,800.00",Rs./Quintal,18,Metric Tonnes,19-01-2026
Karnataka,Chikmagalur,Koppa APMC,Cereals,Rice,Jaya,Local,"1,700.00","1,800.00","1,750.00",Rs./Quintal,5.6,Metric Tonnes,19-12-2025
Karnataka,Davangere,Davangere APMC,Cereals,Rice,Medium,Local,"2,300.00","4,300.00","3,480.00",Rs./Quintal,299.7,Metric Tonnes,31-12-2025
Karnataka,Davangere,Davangere APMC,Cereals,Rice,Medium,Local,"2,300.00","7,036.00","4,500.00",Rs./Quintal,331.6,Metric Tonnes,30-12-2025
Karnataka,Davangere,Davangere APMC,Cereals,Rice,Medium,Local,"2,300.00","4,300.00","3,120.00",Rs./Quintal,719.5,Metric Tonnes,29-12-2025
Karnataka,Davangere,Davangere APMC,Cereals,Rice,Medium,Local,"2,250.00","4,350.00","2,890.00",Rs./Quintal,250.8,Metric Tonnes,29-11-2025
Karnataka,Davangere,Davangere APMC,Cereals,Rice,Medium,Local,"2,250.00","2,890.00","2,300.00",Rs./Quintal,356.5,Metric Tonnes,27-11-2025
